credit_card_id,customer_id,credit_card_number,credit_limit,balance
1,32,1193814314829238,1153.28,1738.69
2,1,5532711545467695,4645.09,3456.51
3,27,9879971263815760,3125.36,1102.59
4,4,1541629553387147,3522.64,35.92
5,82,8282359995973862,1930.69,736.82
6,18,0598096258727543,2064.19,67.21
7,28,3551097260585450,2248.28,4369.08
8,88,6228443040694911,1490.8,1013.6
9,16,9073903118953757,2703.97,2536.64
10,46,9730212601417928,1448.66,2426.83
11,41,6004774687009916,3547.26,2780.46
12,43,4715446380610207,4692.04,3574.04
13,40,6165586441661342,2607.95,1644.99
14,78,3146409886685862,3197.56,1484.3
15,91,3837770077331711,1885.17,220.81
16,50,9628210191555221,4132.68,4906.34
17,90,6224474150918613,4332.1,4269.1
18,33,0961669686684210,1556.08,1390.96
19,94,7009374803409132,3118.76,2212.97
20,43,7288091612317821,4040.47,2305.15
21,50,5481820550089053,1784.97,2092.89
22,85,3415049001185977,1931.74,2051.76
23,24,3500880061228474,4314.68,1425.9
24,16,1387931453593538,1213.09,2188.25
25,64,1515494506344207,3612.87,3883.84
26,22,0467233344088986,2688.95,2725.77
27,55,0276478562725271,3390.42,3177.31
28,85,9452650334929681,4731.63,3549.53
29,68,5645747728551798,3915.7,2283.76
30,96,0591432013119928,3864.25,3690.93
31,37,2941545288689086,1953.67,2244.68
32,36,0964218042755276,1768.49,4445.36
33,44,4916959338414544,4797.73,1057.67
34,7,8002025934892644,4958.69,3439.25
35,3,7023244417758699,2343.45,136.05
36,81,3927681190544082,3569.56,4182.63
37,96,9387082709306083,1226.52,4286.22
38,94,9194426219118163,1353.04,124.21
39,26,3929740770228436,3448.12,4732.87
40,98,7703125719316180,4178.29,2294.97
41,78,2608887665730074,3256.08,4109.91
42,36,9869913885678556,2830.24,1050.66
43,9,7913566987638801,3844.99,250.15
44,28,4331694633084034,3422.11,1007.05
45,22,1466841702073907,3600.58,1826.51
46,96,5108559223994247,1036.19,884.95
47,96,4387160976216588,2586.51,1591.57
48,76,8659451271306945,3164.63,7.51
49,8,3675735672501133,4089.63,2912.0
